id,name,iata_code,icao_code,latitude_deg,longitude_deg,elevation_ft
659,Skien Airport,SKE,ENSN,59.185001373291016,9.566940307617188,463
660,Stord Airport,SRP,ENSO,59.791900634765625,5.340849876403809,160
662,Sandnessjøen Airport (Stokka),SSJ,ENST,65.956802368164,12.468899726868,56
663,"Tromsø Airport,",TOS,ENTC,69.68329620361328,18.91889953613281,31
664,"Sandefjord Airport, Torp",TRF,ENTO,59.1866989136,10.258600235,286
665,Trondheim Airport Værnes,TRD,ENVA,63.4578018,10.9239998,56
666,Stavanger Airport Sola,SVG,ENZV,58.876701354,5.6377801895,29
668,Gdańsk Lech Wałęsa Airport,GDN,EPGD,54.37760162353516,18.46619987487793,489
669,Kraków John Paul II International Airport,KRK,EPKK,50.077702,19.7848,791
671,Katowice International Airport,KTW,EPKT,50.4743,19.08,995
674,Poznań-Ławica Airport,POZ,EPPO,52.4210014343,16.8262996674,308
675,Rzeszów-Jasionka Airport,RZE,EPRZ,50.1100006104,22.0189990997,675
676,"Szczecin-Goleniów ""Solidarność"" Airport",SZZ,EPSC,53.584701538100006,14.9021997452,154
679,Warsaw Chopin Airport,WAW,EPWA,52.1656990051,20.9671001434,362
680,Copernicus Wrocław Airport,WRO,EPWR,51.1026992798,16.885799408,404
685,Ronneby Airport,RNB,ESDF,56.266700744629,15.265000343323,191
687,Gothenburg-Landvetter Airport,GOT,ESGG,57.662799835205,12.279800415039,506
688,Jönköping Airport,JKG,ESGJ,57.757598876953125,14.068699836730955,741
691,Gothenburg City Airport,GSE,ESGP,57.7747,11.8704,59
693,Trollhättan-Vänersborg Airport,THN,ESGT,58.31809997558594,12.345000267028809,137
698,Mora Airport,MXX,ESKM,60.957901,14.5114,634
699,Stockholm Skavsta Airport,NYO,ESKN,58.78860092163086,16.912200927734375,140
